Sample_Name,nitrogen_percent
NC05_ABBA_T3,1.277
NC05_ABBA_TN,1.718
NC05_ACSM_B,1.9365
NC05_ACSM_M,2.075
NC05_ACSM_T,1.466
NC05_TIAM_B,3.424
NC05_TIAM_M,3.932
NC05_TIAM_T,3.2605
NC07_POTR_B,2.921
NC07_POTR_M,2.611
NC07_POTR_T,2.475
NC08_LALA_BN,1.475
NC08_LALA_MN,1.431
NC08_LALA_TN,1.323
NC08_PIMA_B2,1.091
NC08_PIMA_B3,1.043
NC08_PIMA_BN,1.08
NC08_PIMA_M2,1.0645
NC08_PIMA_M3,0.899
NC08_PIMA_MN,1.013
NC08_PIMA_T2,1.044
NC08_PIMA_T3,0.913
NC08_PIMA_TN,0.838
NC09_ABBA_M3,1.427
NC09_ABBA_T3,1.442
NC09_ABBA_TN,1.785
NC09_ALIN_M,3.034
NC09_FRNI_M,3.21
NC09_FRNI_T,3.071
NC09_THOC_B2,1.243
NC09_THOC_BN,1.315
NC11_TIAM_B,4.398
NC11_TIAM_T,3.368
NC12_PIBA_TO,1.954
NC13_ACRU_T,2.37
NC13_PIRE_MN,1.257
NC13_PIRE_MO,1.5
NC13_PIRE_TO,1.309
NC14_ABBA_B2,1.107
NC14_ABBA_B3,0.981
NC14_ABBA_BN,1.325
NC14_ABBA_M2,1.07
NC14_ABBA_M3,1.015
NC14_ABBA_MN,1.185
NC14_ABBA_T2,1.234
NC14_ABBA_T3,1.175
NC14_ABBA_TN,1.139
NC14_PIMA_B2,1.101
NC14_PIMA_B3,1.016
NC14_PIMA_BN,1.249
NC14_PIMA_M2,1.113
NC14_PIMA_M3,1.077
NC14_PIMA_MN,1.099
NC14_PIMA_T2,1.123
NC14_PIMA_T3,0.949
NC14_PIMA_TN,1.121
NC14_POTR_B,2.847
NC14_POTR_M,2.781
NC14_POTR_T,2.719
OF01_BEAL_T,2.475
OF03_BEAL_M,3.144
OF03_BEAL_T,2.379
PB01_ACSM_B,2.259
PB01_ACSM_M,2.1455
PB01_ACSM_T,1.881
PB01_TSCA_B2,1.393
PB01_TSCA_B3,1.376
PB01_TSCA_BN,1.509
PB01_TSCA_M2,1.465
PB01_TSCA_M3,1.421
PB01_TSCA_MN,1.447
PB01_TSCA_T2,1.54
PB01_TSCA_TN,1.577
PB02_ABBA_B2,1.468
PB02_ABBA_B3,1.36
PB02_ABBA_BN,1.533
PB02_ABBA_T2,1.575
PB02_ABBA_T3,1.381
PB02_ABBA_TN,1.427
PB02_ACRU_M,1.919
PB02_ACRU_T,1.729
PB02_ACSM_B,1.841
PB02_QURU_B,2.579
PB02_QURU_T,2.974
PB03_ACSM_T,1.839
PB03_POTR_B,2.946
PB03_POTR_M,2.764
PB03_POTR_T,2.588
PB04_ACRU_B,2.076
PB04_ACRU_T,2.128
PB04_PIRE_MN,1.05
PB04_PIRE_MO,1.169
PB04_PIRE_TA,1.304
PB04_PIRE_TN,1.238
PB04_PIRE_TO,1.235
PB04_PIST_MN,1.327
PB04_PIST_MO,1.192
PB04_PIST_TN,1.202
PB04_PIST_TO,1.239
PB05_PIBA_B2,1.56
PB05_PIBA_BN,1.444
PB05_PIBA_M2,1.382
PB05_PIBA_MN,1.122
PB05_PIBA_T2,1.635
PB05_PIBA_TN,1.342
PB05_QUEL_B,2.719
PB05_QUEL_T,3.108
PB05_QUMA_B,3.215
PB05_QUMA_T,2.706
PB06_PIRE_BN,1.156
PB06_PIRE_BO,1.1855
PB06_PIRE_MN,1.088
PB06_PIRE_MO,1.098
PB06_PIRE_TN,1.03
PB06_PIRE_TO,1.17
PB06_QUMA_B,3.116
PB06_QUMA_T,3.159
PB07_COAM_T,2.761
PB07_PIBA_BN,1.362
PB07_PIBA_BO,1.581
PB07_PIBA_MN,1.289
PB07_PIBA_MO,1.599
PB07_PIBA_TN,1.472
PB07_PIBA_TO,1.516
PB08_COAM_T,2.216
PB08_PIBA_BN,1.321
PB08_PIBA_BO,1.698
PB08_PIBA_MN,1.125
PB08_PIBA_MO,1.529
PB08_PIBA_TN,1.09
PB08_PIBA_TO,1.593
PB08_QURU_B,3.027
PB08_QURU_T,3.465
PB09_PIBA_BN,1.122
PB09_PIBA_BO,1.393
PB09_PIBA_MN,1.259
PB09_PIBA_MO,1.459
PB09_PIBA_TN,1.25
PB09_PIBA_TO,1.466
PB10_PIBA_BN,1.113
PB10_PIBA_BO,1.446
PB10_PIBA_MN,1.257
PB10_PIBA_MO,1.465
PB10_PIBA_TN,1.233
PB10_PIBA_TO,1.527
PB11_PIBA_BN,1.301
PB11_PIBA_BO,1.402
PB11_PIBA_MN,1.53
PB11_PIBA_TN,1.353
PB11_PIBA_TO,1.586
PB11_QUEL_B,2.95
PB11_QUEL_M,3.011
PB11_QUEL_T,3.135
PB12_ACRU_B,1.875
PB12_ACRU_M,2.15
PB12_ACRU_T,2.677
PB12_PRUNUS_T,2.75
PB12_QUEL_B,2.935
PB12_QUEL_M,3.347
PB12_QUEL_T,2.982
PB13_PIBA_BN,1.433
PB13_PIBA_BO,1.599
PB13_PIBA_MN,1.35
PB13_PIBA_MO,1.661
PB13_PIBA_TN,1.595
PB13_PIBA_TO,1.701
PM01_ACSM_B,2.53
PM01_ACSM_M,2.499
PM01_ACSM_T,2.008
PM01_FRNI_M,2.712
PM01_FRPE_B,3.071
PM01_FRPE_T,2.476
PM01_TIAM_B,4.255
PM01_TIAM_M,3.42
PM01_TIAM_T,3.541
PM02_ACSM_T,1.874
PM02_BEAL_B,3.07
PM02_FRNI_T,2.503
PM02_OSVI_B,2.655
PM02_OSVI_T,2.766
PM02_TSCA_B2,1.822
PM02_TSCA_BN,1.697
PM02_TSCA_M2,1.545
PM02_TSCA_M3,1.371
PM02_TSCA_MN,1.784
PM02_TSCA_T2,1.267
PM02_TSCA_T2SAMP2,1.383
PM02_TSCA_T3SAMP2,1.343
PM02_TSCA_TN,1.471
PM02_TSCA_TNSAMP2,1.367
PM04_ACSM_B,2.21
PM04_ACSM_T,2.413
PM04_OSVI_T,2.785
PM04_QURU_B,2.945
PM04_QURU_M,2.901
PM04_QURU_T,2.667
PM05_BEAL_M,2.777
PM05_BEAL_T,2.224
PM05_TSCA_B2,1.958
PM05_TSCA_B3,1.734
PM05_TSCA_BN,1.577
PM05_TSCA_M2,1.581
PM05_TSCA_M3,1.589
PM05_TSCA_MN,1.522
PM05_TSCA_T2,1.268
